Instrument,SessionContext,TotalBars,EntryPath,Occurrences,PersistGE2,PersistGE3,PersistGE5,PersistGE8
ES,RTH,50,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,50,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,50,Unresolved->Directional,1,100.00,0.00,0.00,0.00
ES,RTH,100,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,100,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,100,Unresolved->Directional,3,66.67,33.33,33.33,0.00
ES,RTH,100,Directional->Degrading,3,0.00,0.00,0.00,0.00
ES,RTH,100,Degrading->Unresolved,3,100.00,66.67,66.67,66.67
ES,RTH,100,Degrading->Balance,1,0.00,0.00,0.00,0.00
ES,RTH,100,Balance->Degrading,1,100.00,0.00,0.00,0.00
ES,RTH,100,Unresolved->Balance,1,0.00,0.00,0.00,0.00
ES,RTH,150,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,150,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,150,Unresolved->Directional,5,80.00,40.00,40.00,20.00
ES,RTH,150,Directional->Degrading,6,16.67,16.67,16.67,0.00
ES,RTH,150,Degrading->Unresolved,7,57.14,42.86,42.86,28.57
ES,RTH,150,Degrading->Balance,1,0.00,0.00,0.00,0.00
ES,RTH,150,Balance->Degrading,1,100.00,0.00,0.00,0.00
ES,RTH,150,Unresolved->Balance,4,0.00,0.00,0.00,0.00
ES,RTH,150,Balance->Unresolved,4,75.00,75.00,50.00,50.00
ES,RTH,150,Unresolved->Degrading,2,0.00,0.00,0.00,0.00
ES,RTH,150,Degrading->Directional,1,0.00,0.00,0.00,0.00
ES,RTH,200,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,200,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,200,Unresolved->Directional,5,80.00,40.00,40.00,20.00
ES,RTH,200,Directional->Degrading,6,16.67,16.67,16.67,0.00
ES,RTH,200,Degrading->Unresolved,11,63.64,45.45,45.45,27.27
ES,RTH,200,Degrading->Balance,1,0.00,0.00,0.00,0.00
ES,RTH,200,Balance->Degrading,1,100.00,0.00,0.00,0.00
ES,RTH,200,Unresolved->Balance,9,22.22,0.00,0.00,0.00
ES,RTH,200,Balance->Unresolved,8,75.00,62.50,25.00,25.00
ES,RTH,200,Unresolved->Degrading,6,33.33,16.67,16.67,0.00
ES,RTH,200,Degrading->Directional,1,0.00,0.00,0.00,0.00
ES,RTH,250,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,250,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,250,Unresolved->Directional,5,80.00,40.00,40.00,20.00
ES,RTH,250,Directional->Degrading,6,16.67,16.67,16.67,0.00
ES,RTH,250,Degrading->Unresolved,11,63.64,45.45,45.45,27.27
ES,RTH,250,Degrading->Balance,1,0.00,0.00,0.00,0.00
ES,RTH,250,Balance->Degrading,1,100.00,0.00,0.00,0.00
ES,RTH,250,Unresolved->Balance,10,30.00,0.00,0.00,0.00
ES,RTH,250,Balance->Unresolved,9,66.67,55.56,22.22,22.22
ES,RTH,250,Unresolved->Degrading,6,33.33,16.67,16.67,0.00
ES,RTH,250,Degrading->Directional,1,0.00,0.00,0.00,0.00
ES,RTH,300,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,300,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,300,Unresolved->Directional,5,80.00,40.00,40.00,20.00
ES,RTH,300,Directional->Degrading,6,16.67,16.67,16.67,0.00
ES,RTH,300,Degrading->Unresolved,14,64.29,42.86,42.86,21.43
ES,RTH,300,Degrading->Balance,3,0.00,0.00,0.00,0.00
ES,RTH,300,Balance->Degrading,3,33.33,0.00,0.00,0.00
ES,RTH,300,Unresolved->Balance,13,38.46,7.69,7.69,0.00
ES,RTH,300,Balance->Unresolved,12,66.67,58.33,25.00,25.00
ES,RTH,300,Unresolved->Degrading,9,33.33,22.22,11.11,0.00
ES,RTH,300,Degrading->Directional,1,0.00,0.00,0.00,0.00
ES,RTH,350,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,350,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,350,Unresolved->Directional,8,75.00,37.50,25.00,12.50
ES,RTH,350,Directional->Degrading,10,30.00,30.00,20.00,0.00
ES,RTH,350,Degrading->Unresolved,15,66.67,40.00,40.00,20.00
ES,RTH,350,Degrading->Balance,4,0.00,0.00,0.00,0.00
ES,RTH,350,Balance->Degrading,3,33.33,0.00,0.00,0.00
ES,RTH,350,Unresolved->Balance,14,35.71,7.14,7.14,0.00
ES,RTH,350,Balance->Unresolved,15,73.33,66.67,40.00,26.67
ES,RTH,350,Unresolved->Degrading,9,33.33,22.22,11.11,0.00
ES,RTH,350,Degrading->Directional,3,33.33,33.33,0.00,0.00
ES,RTH,350,Directional->Unresolved,1,100.00,0.00,0.00,0.00
ES,RTH,400,Unknown->Unresolved,2,100.00,100.00,50.00,50.00
ES,RTH,400,Unresolved->Unknown,1,100.00,100.00,0.00,0.00
ES,RTH,400,Unresolved->Directional,8,75.00,37.50,25.00,12.50
ES,RTH,400,Directional->Degrading,10,30.00,30.00,20.00,0.00
ES,RTH,400,Degrading->Unresolved,17,70.59,41.18,41.18,23.53
ES,RTH,400,Degrading->Balance,5,0.00,0.00,0.00,0.00
ES,RTH,400,Balance->Degrading,4,50.00,0.00,0.00,0.00
ES,RTH,400,Unresolved->Balance,19,36.84,10.53,5.26,0.00
ES,RTH,400,Balance->Unresolved,19,78.95,68.42,36.84,21.05
ES,RTH,400,Unresolved->Degrading,11,36.36,18.18,9.09,0.00
ES,RTH,400,Degrading->Directional,3,33.33,33.33,0.00,0.00
ES,RTH,400,Directional->Unresolved,1,100.00,0.00,0.00,0.00
