Instrument,SessionContext,TotalBars,Triplet,Count
ES,RTH,50,Unknown->Unknown->Unknown,2
ES,RTH,50,Unknown->Unknown->Unresolved,2
ES,RTH,50,Unknown->Unresolved->Unresolved,2
ES,RTH,50,Unresolved->Unresolved->Unresolved,37
ES,RTH,50,Unresolved->Unresolved->Unknown,1
ES,RTH,50,Unresolved->Unknown->Unknown,1
ES,RTH,50,Unresolved->Unresolved->Directional,1
ES,RTH,50,Unresolved->Directional->Directional,1
ES,RTH,50,Directional->Directional->Degrading,1
ES,RTH,100,Unknown->Unknown->Unknown,2
ES,RTH,100,Unknown->Unknown->Unresolved,2
ES,RTH,100,Unknown->Unresolved->Unresolved,2
ES,RTH,100,Unresolved->Unresolved->Unresolved,66
ES,RTH,100,Unresolved->Unresolved->Unknown,1
ES,RTH,100,Unresolved->Unknown->Unknown,1
ES,RTH,100,Unresolved->Unresolved->Directional,3
ES,RTH,100,Unresolved->Directional->Directional,2
ES,RTH,100,Directional->Directional->Degrading,2
ES,RTH,100,Directional->Degrading->Unresolved,2
ES,RTH,100,Degrading->Unresolved->Unresolved,3
ES,RTH,100,Directional->Directional->Directional,4
ES,RTH,100,Directional->Degrading->Balance,1
ES,RTH,100,Degrading->Balance->Degrading,1
ES,RTH,100,Balance->Degrading->Degrading,1
ES,RTH,100,Degrading->Degrading->Unresolved,1
ES,RTH,100,Unresolved->Directional->Degrading,1
ES,RTH,100,Unresolved->Unresolved->Balance,1
ES,RTH,100,Unresolved->Balance->Unresolved,1
ES,RTH,100,Balance->Unresolved->Unresolved,1
ES,RTH,150,Unknown->Unknown->Unknown,2
ES,RTH,150,Unknown->Unknown->Unresolved,2
ES,RTH,150,Unknown->Unresolved->Unresolved,2
ES,RTH,150,Unresolved->Unresolved->Unresolved,81
ES,RTH,150,Unresolved->Unresolved->Unknown,1
ES,RTH,150,Unresolved->Unknown->Unknown,1
ES,RTH,150,Unresolved->Unresolved->Directional,4
ES,RTH,150,Unresolved->Directional->Directional,4
ES,RTH,150,Directional->Directional->Degrading,4
ES,RTH,150,Directional->Degrading->Unresolved,4
ES,RTH,150,Degrading->Unresolved->Unresolved,4
ES,RTH,150,Directional->Directional->Directional,10
ES,RTH,150,Directional->Degrading->Balance,1
ES,RTH,150,Degrading->Balance->Degrading,1
ES,RTH,150,Balance->Degrading->Degrading,1
ES,RTH,150,Degrading->Degrading->Unresolved,2
ES,RTH,150,Unresolved->Directional->Degrading,1
ES,RTH,150,Unresolved->Unresolved->Balance,3
ES,RTH,150,Unresolved->Balance->Unresolved,4
ES,RTH,150,Balance->Unresolved->Unresolved,3
ES,RTH,150,Unresolved->Unresolved->Degrading,1
ES,RTH,150,Unresolved->Degrading->Directional,1
ES,RTH,150,Degrading->Directional->Degrading,1
ES,RTH,150,Degrading->Unresolved->Degrading,1
ES,RTH,150,Unresolved->Degrading->Unresolved,1
ES,RTH,150,Degrading->Unresolved->Directional,1
ES,RTH,150,Directional->Degrading->Degrading,1
ES,RTH,150,Degrading->Degrading->Degrading,4
ES,RTH,150,Degrading->Unresolved->Balance,1
ES,RTH,150,Balance->Unresolved->Balance,1
ES,RTH,200,Unknown->Unknown->Unknown,2
ES,RTH,200,Unknown->Unknown->Unresolved,2
ES,RTH,200,Unknown->Unresolved->Unresolved,2
ES,RTH,200,Unresolved->Unresolved->Unresolved,100
ES,RTH,200,Unresolved->Unresolved->Unknown,1
ES,RTH,200,Unresolved->Unknown->Unknown,1
ES,RTH,200,Unresolved->Unresolved->Directional,4
ES,RTH,200,Unresolved->Directional->Directional,4
ES,RTH,200,Directional->Directional->Degrading,4
ES,RTH,200,Directional->Degrading->Unresolved,4
ES,RTH,200,Degrading->Unresolved->Unresolved,7
ES,RTH,200,Directional->Directional->Directional,10
ES,RTH,200,Directional->Degrading->Balance,1
ES,RTH,200,Degrading->Balance->Degrading,1
ES,RTH,200,Balance->Degrading->Degrading,1
ES,RTH,200,Degrading->Degrading->Unresolved,4
ES,RTH,200,Unresolved->Directional->Degrading,1
ES,RTH,200,Unresolved->Unresolved->Balance,7
ES,RTH,200,Unresolved->Balance->Unresolved,7
ES,RTH,200,Balance->Unresolved->Unresolved,6
ES,RTH,200,Unresolved->Unresolved->Degrading,3
ES,RTH,200,Unresolved->Degrading->Directional,1
ES,RTH,200,Degrading->Directional->Degrading,1
ES,RTH,200,Degrading->Unresolved->Degrading,2
ES,RTH,200,Unresolved->Degrading->Unresolved,3
ES,RTH,200,Degrading->Unresolved->Directional,1
ES,RTH,200,Directional->Degrading->Degrading,1
ES,RTH,200,Degrading->Degrading->Degrading,8
ES,RTH,200,Degrading->Unresolved->Balance,1
ES,RTH,200,Balance->Unresolved->Balance,1
ES,RTH,200,Unresolved->Balance->Balance,2
ES,RTH,200,Balance->Balance->Unresolved,2
ES,RTH,200,Balance->Unresolved->Degrading,1
ES,RTH,200,Unresolved->Degrading->Degrading,2
ES,RTH,250,Unknown->Unknown->Unknown,2
ES,RTH,250,Unknown->Unknown->Unresolved,2
ES,RTH,250,Unknown->Unresolved->Unresolved,2
ES,RTH,250,Unresolved->Unresolved->Unresolved,146
ES,RTH,250,Unresolved->Unresolved->Unknown,1
ES,RTH,250,Unresolved->Unknown->Unknown,1
ES,RTH,250,Unresolved->Unresolved->Directional,4
ES,RTH,250,Unresolved->Directional->Directional,4
ES,RTH,250,Directional->Directional->Degrading,4
ES,RTH,250,Directional->Degrading->Unresolved,4
ES,RTH,250,Degrading->Unresolved->Unresolved,7
ES,RTH,250,Directional->Directional->Directional,10
ES,RTH,250,Directional->Degrading->Balance,1
ES,RTH,250,Degrading->Balance->Degrading,1
ES,RTH,250,Balance->Degrading->Degrading,1
ES,RTH,250,Degrading->Degrading->Unresolved,4
ES,RTH,250,Unresolved->Directional->Degrading,1
ES,RTH,250,Unresolved->Unresolved->Balance,7
ES,RTH,250,Unresolved->Balance->Unresolved,7
ES,RTH,250,Balance->Unresolved->Unresolved,7
ES,RTH,250,Unresolved->Unresolved->Degrading,3
ES,RTH,250,Unresolved->Degrading->Directional,1
ES,RTH,250,Degrading->Directional->Degrading,1
ES,RTH,250,Degrading->Unresolved->Degrading,2
ES,RTH,250,Unresolved->Degrading->Unresolved,3
ES,RTH,250,Degrading->Unresolved->Directional,1
ES,RTH,250,Directional->Degrading->Degrading,1
ES,RTH,250,Degrading->Degrading->Degrading,8
ES,RTH,250,Degrading->Unresolved->Balance,1
ES,RTH,250,Balance->Unresolved->Balance,2
ES,RTH,250,Unresolved->Balance->Balance,3
ES,RTH,250,Balance->Balance->Unresolved,3
ES,RTH,250,Balance->Unresolved->Degrading,1
ES,RTH,250,Unresolved->Degrading->Degrading,2
ES,RTH,300,Unknown->Unknown->Unknown,2
ES,RTH,300,Unknown->Unknown->Unresolved,2
ES,RTH,300,Unknown->Unresolved->Unresolved,2
ES,RTH,300,Unresolved->Unresolved->Unresolved,169
ES,RTH,300,Unresolved->Unresolved->Unknown,1
ES,RTH,300,Unresolved->Unknown->Unknown,1
ES,RTH,300,Unresolved->Unresolved->Directional,4
ES,RTH,300,Unresolved->Directional->Directional,4
ES,RTH,300,Directional->Directional->Degrading,4
ES,RTH,300,Directional->Degrading->Unresolved,4
ES,RTH,300,Degrading->Unresolved->Unresolved,9
ES,RTH,300,Directional->Directional->Directional,10
ES,RTH,300,Directional->Degrading->Balance,1
ES,RTH,300,Degrading->Balance->Degrading,2
ES,RTH,300,Balance->Degrading->Degrading,1
ES,RTH,300,Degrading->Degrading->Unresolved,4
ES,RTH,300,Unresolved->Directional->Degrading,1
ES,RTH,300,Unresolved->Unresolved->Balance,9
ES,RTH,300,Unresolved->Balance->Unresolved,8
ES,RTH,300,Balance->Unresolved->Unresolved,9
ES,RTH,300,Unresolved->Unresolved->Degrading,5
ES,RTH,300,Unresolved->Degrading->Directional,1
ES,RTH,300,Degrading->Directional->Degrading,1
ES,RTH,300,Degrading->Unresolved->Degrading,3
ES,RTH,300,Unresolved->Degrading->Unresolved,5
ES,RTH,300,Degrading->Unresolved->Directional,1
ES,RTH,300,Directional->Degrading->Degrading,1
ES,RTH,300,Degrading->Degrading->Degrading,9
ES,RTH,300,Degrading->Unresolved->Balance,1
ES,RTH,300,Balance->Unresolved->Balance,3
ES,RTH,300,Unresolved->Balance->Balance,5
ES,RTH,300,Balance->Balance->Unresolved,4
ES,RTH,300,Balance->Unresolved->Degrading,1
ES,RTH,300,Unresolved->Degrading->Degrading,3
ES,RTH,300,Degrading->Degrading->Balance,1
ES,RTH,300,Degrading->Balance->Unresolved,1
ES,RTH,300,Balance->Balance->Balance,3
ES,RTH,300,Balance->Balance->Degrading,1
ES,RTH,300,Balance->Degrading->Balance,1
ES,RTH,300,Balance->Degrading->Unresolved,1
ES,RTH,350,Unknown->Unknown->Unknown,2
ES,RTH,350,Unknown->Unknown->Unresolved,2
ES,RTH,350,Unknown->Unresolved->Unresolved,2
ES,RTH,350,Unresolved->Unresolved->Unresolved,187
ES,RTH,350,Unresolved->Unresolved->Unknown,1
ES,RTH,350,Unresolved->Unknown->Unknown,1
ES,RTH,350,Unresolved->Unresolved->Directional,7
ES,RTH,350,Unresolved->Directional->Directional,6
ES,RTH,350,Directional->Directional->Degrading,6
ES,RTH,350,Directional->Degrading->Unresolved,4
ES,RTH,350,Degrading->Unresolved->Unresolved,10
ES,RTH,350,Directional->Directional->Directional,12
ES,RTH,350,Directional->Degrading->Balance,2
ES,RTH,350,Degrading->Balance->Degrading,2
ES,RTH,350,Balance->Degrading->Degrading,1
ES,RTH,350,Degrading->Degrading->Unresolved,5
ES,RTH,350,Unresolved->Directional->Degrading,2
ES,RTH,350,Unresolved->Unresolved->Balance,11
ES,RTH,350,Unresolved->Balance->Unresolved,9
ES,RTH,350,Balance->Unresolved->Unresolved,11
ES,RTH,350,Unresolved->Unresolved->Degrading,5
ES,RTH,350,Unresolved->Degrading->Directional,1
ES,RTH,350,Degrading->Directional->Degrading,2
ES,RTH,350,Degrading->Unresolved->Degrading,3
ES,RTH,350,Unresolved->Degrading->Unresolved,5
ES,RTH,350,Degrading->Unresolved->Directional,1
ES,RTH,350,Directional->Degrading->Degrading,3
ES,RTH,350,Degrading->Degrading->Degrading,14
ES,RTH,350,Degrading->Unresolved->Balance,1
ES,RTH,350,Balance->Unresolved->Balance,3
ES,RTH,350,Unresolved->Balance->Balance,5
ES,RTH,350,Balance->Balance->Unresolved,4
ES,RTH,350,Balance->Unresolved->Degrading,1
ES,RTH,350,Unresolved->Degrading->Degrading,3
ES,RTH,350,Degrading->Degrading->Balance,1
ES,RTH,350,Degrading->Balance->Unresolved,2
ES,RTH,350,Balance->Balance->Balance,3
ES,RTH,350,Balance->Balance->Degrading,1
ES,RTH,350,Balance->Degrading->Balance,1
ES,RTH,350,Balance->Degrading->Unresolved,1
ES,RTH,350,Directional->Directional->Unresolved,1
ES,RTH,350,Directional->Unresolved->Unresolved,1
ES,RTH,350,Degrading->Degrading->Directional,1
ES,RTH,350,Degrading->Directional->Directional,1
ES,RTH,350,Directional->Degrading->Directional,1
ES,RTH,400,Unknown->Unknown->Unknown,2
ES,RTH,400,Unknown->Unknown->Unresolved,2
ES,RTH,400,Unknown->Unresolved->Unresolved,2
ES,RTH,400,Unresolved->Unresolved->Unresolved,209
ES,RTH,400,Unresolved->Unresolved->Unknown,1
ES,RTH,400,Unresolved->Unknown->Unknown,1
ES,RTH,400,Unresolved->Unresolved->Directional,7
ES,RTH,400,Unresolved->Directional->Directional,6
ES,RTH,400,Directional->Directional->Degrading,6
ES,RTH,400,Directional->Degrading->Unresolved,4
ES,RTH,400,Degrading->Unresolved->Unresolved,12
ES,RTH,400,Directional->Directional->Directional,12
ES,RTH,400,Directional->Degrading->Balance,2
ES,RTH,400,Degrading->Balance->Degrading,3
ES,RTH,400,Balance->Degrading->Degrading,2
ES,RTH,400,Degrading->Degrading->Unresolved,6
ES,RTH,400,Unresolved->Directional->Degrading,2
ES,RTH,400,Unresolved->Unresolved->Balance,15
ES,RTH,400,Unresolved->Balance->Unresolved,12
ES,RTH,400,Balance->Unresolved->Unresolved,16
ES,RTH,400,Unresolved->Unresolved->Degrading,7
ES,RTH,400,Unresolved->Degrading->Directional,1
ES,RTH,400,Degrading->Directional->Degrading,2
ES,RTH,400,Degrading->Unresolved->Degrading,3
ES,RTH,400,Unresolved->Degrading->Unresolved,6
ES,RTH,400,Degrading->Unresolved->Directional,1
ES,RTH,400,Directional->Degrading->Degrading,3
ES,RTH,400,Degrading->Degrading->Degrading,14
ES,RTH,400,Degrading->Unresolved->Balance,1
ES,RTH,400,Balance->Unresolved->Balance,3
ES,RTH,400,Unresolved->Balance->Balance,7
ES,RTH,400,Balance->Balance->Unresolved,6
ES,RTH,400,Balance->Unresolved->Degrading,1
ES,RTH,400,Unresolved->Degrading->Degrading,4
ES,RTH,400,Degrading->Degrading->Balance,2
ES,RTH,400,Degrading->Balance->Unresolved,2
ES,RTH,400,Balance->Balance->Balance,5
ES,RTH,400,Balance->Balance->Degrading,1
ES,RTH,400,Balance->Degrading->Balance,1
ES,RTH,400,Balance->Degrading->Unresolved,1
ES,RTH,400,Directional->Directional->Unresolved,1
ES,RTH,400,Directional->Unresolved->Unresolved,1
ES,RTH,400,Degrading->Degrading->Directional,1
ES,RTH,400,Degrading->Directional->Directional,1
ES,RTH,400,Directional->Degrading->Directional,1
